,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
326,1/31/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment,"Upon entering the mine interior; the bodeguero is located only in the litorina N Â° 13, last of the convoy; during its displacement, the litorina derails and advances approximately 15 meters; it is when the operator observes this event and before entering through the entrance gate paralyzes the displacement of the convoy. The winemaker had his full EPPs on."
348,2/23/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Vehicles and Mobile Equipment,"Mr. Walter was putting his tools in the hopper of the Atlas truck that was parked on the cruise 320 of Level 1850 OB2B, then the mining operations van arrived driven by Engineer parked behind the truck of Atlas to approximately 3 meters and without having placed the safety block went to request the data of the drilling, later the assistant of the SIMBA 04 opened the gate, dropping the bit into the hopper of the mine truck and untimely the vehicle He moved forward, pinning the mechanic's right leg."
361,3/4/2017 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right."
364,3/9/2017 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Vehicles and Mobile Equipment,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle."
365,3/8/2017 0:00,Country_01,Local_01,Mining,V,V,Male,Third Party,Vehicles and Mobile Equipment,"When the scoop was heading from Rpa 910 to the cut-off point of the Cro 861 South to be unloaded, it visualizes a truck that was parked with the lights and the engine ignited inside the thrust - where the Scoop found accumulating dismount-; the operator stops the Scoop and gets off to tell the driver of the truck to leave and when he finds no one he decides to go and look for the driver at the top of Cro 861 South, where he can not find it; Then he returns to his Scoop and at 15 to 20 meters visualizes the light of a lamp shining in the direction of the gable, when approaching, he finds the deceased lying on the side of the Scoop and proceeds to give immediate notice to the supervisory of the shift, control center and emergency center."
373,3/25/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Third Party,Vehicles and Mobile Equipment,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected."
324,1/28/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment,"At the moment of entering through the mouth of Tunel 3600, the employee moves on the left side of the locomotive LT-18 (locomotive of personnel transfer that was stationed at the entrance of the mouth) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. It should be noted that the operator continued his duties during the watch without reporting what happened. At 2:30 a.m. The extraction supervisor, upon noticing the discomfort of his partner in the knee, immediately evacuated him to Natclar after reporting to the control center."
326,1/31/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment,"Upon entering the mine interior; the bodeguero is located only in the litorina N Â° 13, last of the convoy; during its displacement, the litorina derails and advances approximately 15 meters; it is when the operator observes this event and before entering through the entrance gate paralyzes the displacement of the convoy. The winemaker had his full EPPs on."
348,2/23/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Vehicles and Mobile Equipment,"Mr. Walter was putting his tools in the hopper of the Atlas truck that was parked on the cruise 320 of Level 1850 OB2B, then the mining operations van arrived driven by Engineer parked behind the truck of Atlas to approximately 3 meters and without having placed the safety block went to request the data of the drilling, later the assistant of the SIMBA 04 opened the gate, dropping the bit into the hopper of the mine truck and untimely the vehicle He moved forward, pinning the mechanic's right leg."
361,3/4/2017 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right."
364,3/9/2017 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Vehicles and Mobile Equipment,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle."
365,3/8/2017 0:00,Country_01,Local_01,Mining,V,V,Male,Third Party,Vehicles and Mobile Equipment,"When the scoop was heading from Rpa 910 to the cut-off point of the Cro 861 South to be unloaded, it visualizes a truck that was parked with the lights and the engine ignited inside the thrust - where the Scoop found accumulating dismount-; the operator stops the Scoop and gets off to tell the driver of the truck to leave and when he finds no one he decides to go and look for the driver at the top of Cro 861 South, where he can not find it; Then he returns to his Scoop and at 15 to 20 meters visualizes the light of a lamp shining in the direction of the gable, when approaching, he finds the deceased lying on the side of the Scoop and proceeds to give immediate notice to the supervisory of the shift, control center and emergency center."
373,3/25/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Third Party,Vehicles and Mobile Equipment,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected."
324,1/28/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment,"At the moment of entering through the mouth of Tunel 3600, the employee moves on the left side of the locomotive LT-18 (locomotive of personnel transfer that was stationed at the entrance of the mouth) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. It should be noted that the operator continued his duties during the watch without reporting what happened. At 2:30 a.m. The extraction supervisor, upon noticing the discomfort of his partner in the knee, immediately evacuated him to Natclar after reporting to the control center."
